"datetimes","temp"
"2024-04-10 21:00:00","14.67"
"2024-04-11 00:00:00","13.76"
"2024-04-11 03:00:00","13.01"
"2024-04-11 06:00:00","15.42"
"2024-04-11 09:00:00","17.23"
"2024-04-11 12:00:00","16.7"
"2024-04-11 15:00:00","14.99"
"2024-04-11 18:00:00","12.34"
"2024-04-11 21:00:00","10.56"
"2024-04-12 00:00:00","9.22"
"2024-04-12 03:00:00","9.07"
"2024-04-12 06:00:00","8.85"
"2024-04-12 09:00:00","12.56"
"2024-04-12 12:00:00","13.62"
"2024-04-12 15:00:00","12.67"
"2024-04-12 18:00:00","10.6"
"2024-04-12 21:00:00","8.9"
"2024-04-13 00:00:00","8.04"
"2024-04-13 03:00:00","7.81"
"2024-04-13 06:00:00","9.1"
"2024-04-13 09:00:00","11.35"
"2024-04-13 12:00:00","12.52"
"2024-04-13 15:00:00","11.94"
"2024-04-13 18:00:00","9.94"
"2024-04-13 21:00:00","8.88"
"2024-04-14 00:00:00","8.2"
"2024-04-14 03:00:00","8.24"
"2024-04-14 06:00:00","9.66"
"2024-04-14 09:00:00","12.88"
"2024-04-14 12:00:00","14.24"
"2024-04-14 15:00:00","14.07"
"2024-04-14 18:00:00","12.3"
"2024-04-14 21:00:00","12.04"
"2024-04-15 00:00:00","11.49"
"2024-04-15 03:00:00","9.67"
"2024-04-15 06:00:00","10.02"
"2024-04-15 09:00:00","11.65"
"2024-04-15 12:00:00","12.76"
"2024-04-15 15:00:00","11.7"
"2024-04-15 18:00:00","9.88"
